Data Size (Bytes),Execution Time (10^-4 s) - Memcpy,Execution Time (10^-4 s) - Pinned,Execution Time (10^-4 s) - UVM
32.00 B,4.19,2.03,3.85
64.00 B,3.26,4.38,4.53
128.00 B,2.86,2.8,3.8
256.00 B,3.49,2.46,4.11
512.00 B,3.24,2.61,4.24
1.00 KB,3.44,2.49,4.92
2.00 KB,2.37,2.43,3.82
4.00 KB,3.76,2.3,4.33
8.00 KB,3.92,2.39,4.38
16.00 KB,2.57,2.58,3.44
32.00 KB,2.8,2.18,3.42
64.00 KB,3.47,1.9,4.98
128.00 KB,2.47,2.87,4.41
256.00 KB,2.98,2.2,4.24
512.00 KB,2.46,3.72,5.58
1.00 MB,3.92,5.76,4.2
2.00 MB,3.28,2.6,3.25
4.00 MB,2.17,2.31,4.42
8.00 MB,3.78,2.38,3.73
16.00 MB,3.43,2.21,4.07
32.00 MB,3.23,2.66,4.33
64.00 MB,2.56,2.48,4.33
128.00 MB,2.38,2.62,4.63
256.00 MB,3.34,4.47,4.15
512.00 MB,4.53,2.43,3.42
1.00 GB,2.12,2.5,4.68
2.00 GB,3.32,4.55,3.98
